DISTRICT,PK,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
Hingoli,512,32.9,0,0,0,0,0.879878958,5.248780711,0.468189429,0.567992969,0.187406533,2.200147679,5.981243547,4560,42.2,35.8,0,5.775043551
Jalna,514,10.5,0,0,0,0,0.471480821,3.140869577,0,0.186344102,0,0.450183574,0.187139106,7680,65,4.854087944,0,0.923436819
Buldana,500,4.827843058,0,0.233598184,0,2.281380807,32.2,5.188208152,0,233,1.445372491,1.023326989,1.709331972,8590,156,718,0,4.328990181
Washim,502,0.186497524,0,0,0,0,0.658460284,1.912243354,0,8.458711336,0,0,0,5130,40.2,18.2,0,0.858675815
Akola,501,2.171907639,0,0,0,0,5.007926519,4.661451346,0,38,0.463718599,0.417075072,0.186452871,4860,137,361,0,1.920504657
Yavatmal,510,53.5,0,0.233556318,0,2.527895521,249,15,0.467402529,592,0.373751231,1.090597795,3.737110579,11700,95.9,786,0,6.953709709
Amravati,503,31.9,0.417113237,0.008250688,0,50.4,1180,8.32232514,2.595812381,2110,4.679212246,1.159602645,7.999030767,7800,202,806,0,3.565945856
Wardha,504,24.7,0,0.177082521,0,3.929725903,69.3,15.6,0,392,1.902540327,0.46204001,11.9,5300,67.5,420,0,2.901148945
Burhanpur,467,0.416412905,0,0,0,5.944997996,27.9,3.294956642,0.879740093,786,0.927972734,1.925172041,0.23192959,1010,40,1320,0,1.93945221
Jalgaon,499,5.390870634,0,0.455641913,0,27,107,9.464565163,0.454472641,233,1.335378041,1.744825517,13.5,9610,321,1430,0,7.416763619
Dhule,498,0.567137534,0,0,0,2.254700621,19.5,9.375598597,7.021630397,178,10.7,14.4,1.220326082,5430,151,1360,0,5.579660588
Aurangabad,515,97.7,0,0.266377888,0,1.143962799,13.7,10.4,0.607908325,17.3,0.4592821,2.122939406,6.691407542,9430,140,389,0,8.849266302
Nashik,516,44.1,0,0.606127241,0,11.7,98,30.6,4.821037575,931,95.3,10.3,6.192505724,11700,232,2330,0,29.3
Thane,517,196,0,1.819313508,0.421523623,55.2,806,54.4,19.9,2520,729,19.9,66.1,1790,307,2930,0,32.3
The Dangs,489,0,0,0,0,43.3,645,0.232386514,1.702990895,797,86.3,0,0,103,1.460638662,85.2,0,0
Valsad,491,100,0.177391687,0,0,8.113078548,131,5.266949957,3.091095384,371,103,24.7,8.119051522,1370,64.2,803,0,6.056470689
Navsari,490,55.7,0,1.53461062,0,2.658451779,59.5,6.151095355,22.6,134,26.7,58.5,4.089487547,1370,45,437,0.187675433,7.336213442
Tapi,493,250,0,0.398724953,0.185395054,12.1,368,22.4,2.716136277,451,42.9,4.842521754,16.4,1240,25.3,703,0,13.3
Surat,492,47.1,0,0,0.407138898,9.014780167,163,4.951799888,18,113,12,70.3,6.91957067,3110,381,376,2.715801052,15.5
Dadra & Nagar Haveli,496,1.350605894,0,0,0,1.270275437,18.6,2.507762223,0,98.7,25.3,0.420225386,1.54304053,80,3.884552236,259,0,0.813889813
Daman,495,21.6,0,0,0,0.18650708,0.912223266,0.251759598,0,0.813924897,0,0.246439555,0,28.1,9.945584691,11.1,0,0.37288126
Diu,494,1.037703324,0,0.007371584,0.100697777,0,0.162849562,1.563214105,2.478953064,0.397852658,0,2.326494815,0.660095828,16.6,0.372250293,7.200528632,0,2.724184278
Mumbai Suburban,518,54.9,0,0.203808194,0,1.803727124,15.6,3.326324841,2.132868595,39.1,1.681946285,4.560944559,40.5,43.7,230,12.1,0,3.200184362
Mumbai,519,87.3,0,0,0,0,0,0,0.413930497,0.414071966,0,1.704279607,2.621107969,1.482706456,50.1,0,0,5.207685451
