DISTRICT,PK,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
Surguja,401,1.071821623,0,6.635425492,0,1050,958,10.8,41,5730,21.5,40,0.229043164,6010,7.488119017,1840,0,4.541345712
Sonbhadra,200,251,0,0.181776328,0,28.8,67.9,8.901315977,157,2150,0.854455436,167,8.682265947,3590,35.2,293,0.599319406,21
Garhwa,346,0,0,0.118686324,0,227,99.5,0.227249194,50,1530,0.236912918,36.6,0,1920,11.4,216,0,8.55804947
Jashpur,402,0,0,2.071563816,0,132,334,2.871646448,3.073141675,2060,24.4,2.346999108,0,1860,5.606036535,1370,0,0
Raigarh,403,0,0,1.019848052,0,268,870,65.1,18.3,2130,33.4,30.2,7.666880569,2250,22.1,1390,0,4.522342772
Gumla,366,0,0,0.010851986,0,167,219,0.251022012,0.517670088,938,4.008615179,1.579287097,0,3750,1.611391439,269,0,0
Simdega,367,0,0,0,0,27,259,0.229496548,1.169269703,1150,5.78679509,0.741796774,0,2000,1.938490716,330,0,0.93636855
Sundargarh,374,9.807891875,0,4.094150696,0,738,1320,22.1,12.8,3620,12.2,26.1,16.9,3020,76.9,841,0,7.035832905
Ranchi,364,7.305822863,0,0,0,66.1,144,6.450352258,1.582069618,949,2.331494937,0.868730684,2.639429712,3020,65.3,667,0,1.488462601
Lohardaga,356,0,0,0,0,74,74.4,3.519310786,0.767648941,312,1.205246241,0.45681875,0,922,4.657596021,104,0,0
Latehar,359,0,0,1.805406853,0,526,349,0.46530075,2.049898182,1510,2.766225157,1.417271007,0,1390,7.145017991,466,0,0
Chatra,347,0,0,0,0,119,132,6.589271498,29.7,1740,1.354441195,34,0,1370,6.004459389,314,0,0
Palamu,358,0,0,0,0,115,25.2,0.41859524,20.2,1250,0.096930842,15.4,0,2910,17.4,61.9,0,2.60140376
Rohtas,234,0,0,0,0,16.3,29.8,1.097691422,86.2,346,0.12576459,66.2,0,3140,98.7,76.8,0,4.74984658
Kaimur (bhabua),233,0,0,0,0,25.7,36.4,0,26.9,760,0.359934105,14,0,2250,18.8,210,0,0
Aurangabad,235,0,0,0,0,21.2,30.7,1.195905704,24.9,64.2,0,17.5,0,3050,60.2,6.130970467,0,0
Gaya,236,0,0,0,0,37,26.7,0,2.152061608,377,0.308211533,5.239274993,0,4360,60.3,90.1,0,0.180572085
Bhojpur,231,0,0,0,0,0,0.225061357,0.722766064,54.5,0.188443497,0,24.3,0,2240,46.3,3.564756251,0,1.046710526
Arwal,240,0,0,0,0,0,0.468598098,0.405470864,16.6,0.414652051,0,3.413009528,0,622,18.5,2.830523533,0,0.002931335
Jehanabad,239,0,0,0,0,0,0,0,0,0,0,0,0,917,13.5,0,0,0
Patna,230,4.997071302,0,0,0,0.179939971,1.187848227,2.160609107,102,0.563316264,0,61.1,0.189026146,2770,190,46.7,0.232392251,25.1
Buxar,232,0,0,0,0,0,0,0,14,0,0,5.874550758,0,1650,22.9,12,0,0.242250057
Ghazipur,195,0,0,0,0,0,0,0.188675016,40.4,0,0,35.3,0,3270,32.7,0.97002326,0,0.52808942
Chandauli,196,0.469931114,0,0,0,4.714222365,1.10197901,4.542277651,26.2,339,0,30,0.831549338,1990,32.7,104,0,1.39112633
Varanasi,197,0,0,0,0,0,0,0,15.1,0,0,15.6,0,1380,132,1.602433868,0,1.556157292
Jaunpur,194,0,0,0,0,0,0,0,0,0,0,0,0.223812446,4000,34.5,0,0,0
Pratapgarh,173,0.224391231,0,0,0,0.466764649,0.242217436,0.412952319,9.114594041,0.466558132,0,7.719890797,1.849040102,3680,10.9,2.714074675,0,0.17951894
Azamgarh,191,0,0,0,0,0,0,0,16.4,0,0,18.4,0.232384234,4210,27.4,0.232180684,0,2.124100968
Ambedkar Nagar,178,0,0,0,0,0,0,0,19,0,0,16.8,0,2250,18.6,1.124310826,0,5.384444933
Sultanpur,179,0,0,0,0,0,0,0,0,0,0,0,0,4400,19.1,0,0,0
Faizabad,177,0,0,0,0,0,0,0.231134982,36.8,0.364789179,0,29.9,0,2610,46,2.064939643,0,8.121565033
Basti,185,0,0,0,0,0,0.027852367,0.161426658,33.9,0,0,20.5,0,2800,23.6,0.177891943,0,4.978013813
Gonda,183,0,0,0.859303303,0,0.230701562,30.9,0.542464325,14.8,7.530184768,0,17.3,0,3930,28.5,1.023844084,0,5.359060031
Sant Kabir Nagar,186,0,0,0,0,0,0,0.033506617,2.441367641,0.461936315,0,1.496245871,10.1,1570,10.5,0.318961011,0,0.558843306
Gorakhpur,188,2.579632489,0,0,0,0.933347853,15.4,0,10.2,0.798718714,0,13.5,3.369920266,3220,80.1,8.28256842,0,2.193303522
Maharajganj,187,0,0,9.744909792,0,1.391008629,256,0,4.246747704,34.8,0.969060049,2.90745435,4.717832019,2560,5.607170199,13.7,0,1.187787804
Kushinagar,189,0.372155803,0,0,0,0,0.627503183,0.416330398,15.9,0.789914625,0.236645342,16.2,0,2820,15.5,5.873690313,0,10.1
Deoria,190,0,0,0,0,0,0.409349185,0.187760776,15.5,0,0,13.9,0,2450,23,52.4,0,2.270712778
Mau,192,0.232424639,0.187721259,0,0,0,0.232449141,0,7.737419704,0,0,13.4,4.040689456,1640,23.2,0.419882858,0,1.842916331
Ballia,193,0.466012468,0,0,0,0,0.188210569,0,70.7,0,0,68.5,5.072461498,2790,36.2,19.7,0,14.3
Siwan,218,0,0,0,0,0,0,0,7.776499917,0,0,6.849040741,0,2180,21.2,0.100639339,0,3.144809797
Saran (chhapra),219,0.681767338,0,0,0,0,0,1.291768199,60.2,0.188119648,0,47,0,2470,41.8,7.863041083,0,15.1
Muzaffarpur,216,0,0,0,0,0,0,0,3.337597277,0.232294809,0,2.380354826,0,3120,40.6,16.8,0,0.232310664
Gopalganj,217,0,0,0,0,0,0,0.667607747,19.2,0,0,19.4,0,1980,18.5,0.810957918,0,0.4653151
Purba Champaran,204,0,0,0,0,0,3.313263712,0.205272845,5.405796275,0,0,4.387753222,0.677885271,3920,31.9,8.006161425,0,0.186357146
Pashchim Champaran,203,0.230517168,0,15.1,0,0.893719023,745,2.573142636,62.7,115,0.261325627,47.3,2.246861128,3920,32.7,296,0,8.037728886
Siddharth Nagar,184,0,0,0,0,0,1.061898757,0,0,1.061111271,0,0,0.593341687,2820,7.847248747,0.23018833,0,0
Balrampur,182,0.467921484,0,0.656601473,0,1.034560863,339,3.258999006,0.23857471,104,0,1.111862726,6.355895616,2460,18.4,389,0,0
Shrawasti,181,0,0,0,0,0.370120816,207,0.335614424,0.198387789,64,0.466714658,0,0,2210,2.126718931,23.3,0,0
Bahraich,180,7.294256685,0,1.946651493,0,0,358,2.111460807,72.3,82.1,0.228116928,46,29.5,3540,36.3,132,0,20.3
Kheri,153,0.364739233,0.184220028,3.098556207,0,1.149372621,934,0.888227757,138,105,0.7712354,75.1,19,6240,32.7,126,0,35.7
Sitapur,154,0,0,0,0,0,0,0.229379724,47.5,0,0,22.5,0,5620,74.6,1.174993333,0,9.668571764
Bara Banki,176,0,0,0,0,0,0,0,19.5,0.452890719,0,16.5,0,3680,27.3,41.2,0,6.585243119
Lucknow,157,0,0,0,0,0,1.12807357,0.470871061,1.573545459,0.18651136,0,0,0,2310,186,39.5,0,0
Hardoi,155,0,0,0,0,0,0,0,21.6,0,0,5.158400884,0,5920,57.3,1.896655879,0,0
Rae Bareli,158,0,0,0,0,0,0,0.083839562,20.8,0,0,6.955743705,0.231689682,4550,39,4.817753899,0,0.393853704
Fatehpur,172,0,0,0,0,0,0,0.192687536,32.1,0,0,39.9,0,4070,35.5,0.231790848,0,1.238308452
Unnao,156,0,0,0,0,0,0,0.433322512,37.4,0,0,12.2,0,4480,55.4,12,0,0.223298047
Kanpur Nagar,164,0,0,0,0,0,0,0.198910103,17.5,0,0,4.697851109,0,2640,208,5.997748589,0,0
Kanpur Dehat,163,0,0,0,0,0,0,0,7.465360456,0,0,5.380386078,0,3170,23.1,9.592503994,0,0
Pilibhit,151,27.6,0,0.367003546,0.419314824,0.227880963,537,3.038638192,24.5,51.7,0.830298231,20,20.8,2840,29.7,38.5,0,2.308565023
Bageshwar,63,0,1.276834708,0.212453346,0.189552226,0.465457633,1110,6.397037823,1.579308196,467,1.650039401,413,0.466149466,120,0,20,143,1.257160405
Champawat,65,0,0,0.27310935,0,0,1120,10.6,1.965260406,301,1.476777323,44.4,0,139,0,34.7,0,0
Pithoragarh,62,3.338047687,3.520729063,0.622189296,0.224099117,1.438385182,2110,11.4,17.6,463,3.990769279,3240,0.485523025,138,2.166484493,129,820,291
North,241,9.239828044,337,4.442342328,0.415317007,1.622092122,945,0.2378905,36.8,39.4,2.400433672,2030,1.043448048,1.050071643,0,0.882583257,807,40.8
East,244,0,96,3.060691169,0,0.920793386,559,1.240999304,0,44.3,0.051494169,157,0.937381382,3.279755773,0,76,0,0
Jalpaiguri,328,0.453677819,1.242880018,654,0,1.707268172,481,1.531640932,41.5,931,31.1,90.4,24.6,2440,56.2,1460,0,11.2
Koch Bihar,329,0,0,2.18037536,0,0,14.6,0.374876249,25.6,40.8,1.346820568,42.3,0,3060,22.1,191,0,5.206717598
Darjiling,327,0,25.4,245,0,2.886695109,1530,0.669366822,1.219394898,404,2.242680648,5.058887512,8.550901485,500,45.1,423,0,0
