DISTRICT,DN_00,DN_01,DN_02,DN_03,DN_04,DN_05,DN_06,DN_07,DN_08,DN_09,DN_10,DN_11,DN_12,DN_13,DN_14,DN_15,DN_16,DN_17,DN_18,DN_19,DN_20,DN_21,DN_22,DN_23,DN_24,DN_25,DN_26,DN_27,DN_28,DN_29,DN_30,DN_31,DN_32,DN_33,DN_34,DN_35,DN_36,DN_37,DN_38,DN_39,DN_40,DN_41,DN_42,DN_43,DN_44,DN_45,DN_46,DN_47,DN_48,DN_49,DN_50,DN_51,DN_52,DN_53,DN_54,DN_55,DN_56,DN_57,DN_58,DN_59,DN_60,DN_61,DN_62,DN_63,mean,sum,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
Thiruvananthapuram,278.9142546,0,0,0,116.0511411,79.49572372,55.51598302,89.13283576,109.1542654,107.5696248,104.7786769,99.59447232,102.6473625,91.17050038,88.11978601,85.18289429,91.48626475,77.1257278,91.93181839,75.0931608,51.6375375,33.33270314,35.26200341,30.12770074,26.32640745,19.44172776,21.75059756,12.7529759,9.302467665,5.751461894,8.440744841,9.016496942,3.84902569,6.464706468,4.952394705,2.624391561,5.967046841,4.443746131,2.281583491,5.991248832,2.517646447,3.9262072,4.952297252,5.020432421,4.320353576,0.884536211,3.271949842,7.940619445,2.387588467,5.325840074,4.278965182,3.079156041,14.34868228,6.913154903,3.537562586,4.15664757,3.459083523,4.864227612,7.792609604,4.864260281,7.704244252,15.92919969,15.13376058,0,141430.7341,31373812141,6.849094887,0,895,0.598483431,4.389550356,24.4,0.125137912,0,392,5.041311935,1.276994637,49,221,40.3,539,0,0.018882675
Thiruvarur,114.4755033,0,0,0,11.12208188,93.87308869,296.9800349,467.4462067,391.023708,278.4032108,174.0015354,111.6851585,68.9844688,55.34239997,40.70733646,26.35944776,21.67325255,15.30659638,10.59826031,10.81071754,6.969391516,4.834636261,5.195471106,2.734308759,3.339236057,3.251300045,4.042197668,3.427643224,4.041732894,4.40381654,5.302187655,4.920770153,0.791048206,3.251000496,3.426814929,1.581863388,0.790750872,1.581883841,0,3.25176047,1.581609718,5.096770825,1.581842742,0.790750872,0,1.669660286,0.878942451,0,1.581589072,0,1.757296969,0.878636373,0,0.976262637,0,0,0,0,0,0,0,0,0,0,87149.66092,20282464989,43.5,0,0,0.410634321,0,0.063601333,0.963601436,19.8,1.260328511,0,37.2,5.005280346,2120,24.4,15.9,1.065929249,6.876468107
Thoothukkudi,145.9957352,0,0,0,433.1808505,970.8739799,843.0304216,535.8649693,306.2605871,209.2892396,194.2862481,197.0673877,140.382412,93.73209554,86.1380857,65.59622746,51.36952263,41.85075818,28.79164327,19.64089522,21.17127113,15.41898839,17.75267425,10.38564605,12.18704485,6.233275004,6.631021925,6.908364109,9.20114954,10.48814813,5.683443711,7.506896828,9.500750044,6.6880829,2.473584732,2.214015369,3.881878519,5.438627108,4.947843422,3.375977208,2.429615956,7.539860181,3.543941836,2.60978328,5.036318082,4.065487422,1.590902807,4.242083403,5.61199591,6.873478692,6.206490282,5.696460039,2.340580271,5.124802271,5.247340905,4.716650271,4.996211497,1.590728502,4.729851913,3.254078493,1.679121105,4.311796616,3.269761245,4.15345776,86901.4733,41006847751,17.8,0,1.424417155,0.835091638,1.994457966,0.225950868,0.958762051,20.7,1.912753855,2.053262402,39.3,5.665458565,1750,139,2590,1.001911008,62.8
Thoubal,300.4087438,0,0,2.533638157,160.8901441,130.61401,74.63683144,27.08055533,9.370636887,4.090422718,3.827975748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26554.00184,2091675074,0,0,36.4,0,0.235315095,21.3,0.92416756,0.480854725,67.9,1.214242194,18.5,54.6,302,2.355378731,207,0,0
Thrissur,606.7453353,0,0,0,89.25880433,136.1645533,108.1768665,145.449588,160.0871136,180.1426312,201.3975396,201.6634234,248.7279468,174.3007442,152.140949,119.0417172,85.27523245,63.72125941,44.68648758,39.45234309,29.88918965,36.60135106,26.23804616,20.248176,20.33815915,12.94905172,12.67434215,9.243289103,6.870273563,14.34413559,5.901926387,5.539804436,7.573341784,2.375409401,2.549615465,6.692556874,4.13279049,2.550234846,2.374276034,1.670853243,1.670677972,4.044847393,0.879407648,1.758676867,3.527205229,2.374213315,2.462088829,0,0.879315434,1.582850821,1.670717133,3.341526524,1.670761028,1.67072412,1.768379687,1.58283065,0,3.527097146,3.341507666,1.670744367,0,0,0,0,99282.92188,30750446974,19.1,0.371520417,667,1.326079271,5.49253805,55.9,0,0,925,7.390563432,0.452698394,88,427,30.1,799,0.410732863,0.23270617
Tikamgarh,4013.055717,0,0,0.270038245,306.7452031,318.5206663,143.7382307,58.22738668,44.55272978,36.36908261,13.85488557,17.59872305,14.54323592,11.68780445,15.08752428,6.360419298,12.12927921,5.014631126,5.731524941,8.672567313,3.613598108,2.337876475,3.118055453,1.062988308,3.127956363,1.047796465,1.31368802,1.034382476,0.48753513,0.732508726,0.369260448,1.546355571,0.813846846,2.318224798,1.392442516,0.813737568,0.904213574,0.899133893,0,0,0.928201813,1.464825973,0,0,1.464825973,0.813792217,0.732462161,0.732363812,0.813792217,0,0,0.813792217,0,0,0,0,0,0,0,0,0,0,0,0,13090.32311,7349447794,0,0,0,0,0.450993755,0.405344409,3.6216452,2.156361688,66.8,0,19.5,0,4930,7.060847725,35.7,0,0.668013989
Tinsukia,1361.491141,0,0,0.716687938,628.3714928,342.4240819,219.6928673,164.0356958,124.6664418,103.1993225,94.36223862,106.8066686,68.2147063,49.52477631,31.35965319,32.91370167,36.10901059,22.92392205,20.68353502,23.70883576,23.24082674,17.13429999,20.11042698,15.28068727,13.37995488,20.29299313,14.4985458,12.95785015,17.05772399,11.83999609,13.94670629,11.47002054,10.42072267,7.628528934,6.758429926,8.231216143,9.076663817,12.73495834,13.75748352,9.629736488,4.452115615,6.046313475,4.788851828,6.838902378,5.807408379,7.271181981,8.42658505,4.452150959,6.679576139,4.691986316,3.658245978,2.314607964,7.086525884,0.795499831,3.826167879,5.484854841,3.110280919,2.146839627,0,3.110332344,2.305987598,0.715895596,0,0,62885.03286,27025565928,10.9,0.176274443,826,0,0.237935099,104,14.8,45.1,1190,38.8,78.5,63,312,14.3,1070,0,20.1
Tirap,1962.55886,0,0,0,36.04728501,15.59449057,11.26046856,5.367194522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430.958528,327294765.9,0,1.8560849,1710,0,0,216,0.231018596,0,82.3,0,0,0.23071795,0,0,22.6,0,0
Tiruchirappalli,123.5333296,0,0,0,96.79753582,390.003317,707.7749359,721.1229925,543.8444675,412.8362541,282.8594994,209.6244007,159.1062063,121.3691753,98.04008872,63.58312264,47.22867187,45.35884141,42.29310425,26.20715046,23.7390962,20.32127912,19.49687238,18.85909309,21.27849187,15.67291093,15.22733999,12.71449338,11.93119471,11.5485112,10.11332883,9.47444504,9.663416763,12.05547843,5.280604142,6.775206349,7.556183661,10.02512845,4.217561319,3.51414077,4.129662917,5.008048392,9.937707793,5.017365563,4.138933278,1.669457347,5.18393249,6.589103827,6.072049773,5.710730607,5.11538122,4.12916154,5.798905049,5.808475438,4.831905006,5.281180939,8.356352058,5.007963708,5.007845148,7.741280151,9.840272404,11.59695152,33.16994918,4.129412405,106647.4692,49290410563,0,0,51.9,0,10.7,75,3.051777959,2.280839932,94.8,1.629328293,4.452579116,0.630618694,1740,96.7,2430,0,0
Tirunelveli,657.015999,0,0,0,288.1221682,403.9353926,615.5502259,773.2640015,718.8968757,521.1777702,437.5707482,335.578749,288.8455827,259.5906725,204.449819,173.5973422,140.2034727,132.9922196,112.4635076,97.24234665,83.18644895,61.92581631,51.2797475,41.61522697,28.99879589,28.52277298,18.81989353,37.83767829,19.10470662,14.55384831,25.28125905,20.42981065,15.20814404,17.94054624,12.45917247,11.94827304,9.847811753,9.832588419,5.04419443,7.625349738,9.111655589,4.332701505,7.424320396,6.889302337,5.224723754,3.181521595,6.01964596,3.270027366,1.865795654,3.446583082,3.270393483,3.358933112,1.679474127,5.13660401,2.563425811,6.020580847,2.563252311,2.386526897,1.67941444,8.407033925,3.182081915,9.369653295,15.13463986,2.563326097,102562.6231,71027940714,4.134625449,0,703,0,17,120,1.379838267,1.750818333,209,7.505808066,14.6,7.388392851,2190,137,3380,0.186505574,7.461013472
