Karauli,107,4939.47
Karbi Anglong,314,10421.14
Karimganj,317,1868.76
Karimnagar,534,11896.28
Karnal,74,2639.45
Karur,613,2894.31
Kasaragod,588,1964.49
Kathua,7,2356.91
Katihar,212,3057.31
Katni,450,5062.17
Kaushambi,174,2029.05
Kendrapara,379,2475.86
Kendujhar,375,8302.22
Khagaria,223,1489.04
Khammam,541,16074.98
Kheda,483,3996.05
Kheri,153,7709.4
Khordha,386,2748.48
Khunti,365,2706.61
Kiphire,269,1148.79
Kishanganj,210,1932.95
Kishtwar,18,8614.51
Koch Bihar,329,3406.69
Kodagu,576,4111.35
Kodarma,348,2514.58
Kohima,270,1477.59
Kokrajhar,300,3175.34
Kolar,581,3985.79
Kolasib,282,1347.03
Kolhapur,530,7670.21
Kollam,600,2487.17
Koppal,560,5568.85
Koraput,398,8701.48
Korba,404,6583.13
Koriya,400,6638.43
Kota,127,5510.4
Kottayam,597,2210.68
Kozhikode,591,2331.46
Krishna,547,8558.24
Krishnagiri,631,5143.05
Kulgam,15,1328.98
Kurnool,552,17820.99
Kurukshetra,72,1569.68
Kurung Kumey,256,6785.6
Kushinagar,189,2885.43
Lakhimpur,307,2884.48
Lakhisarai,227,1265.65
Lakshadweep,587,662.94
Lalitpur,167,5047.82
Latehar,359,4256.93
Latur,524,6750.94
Lawangtlai,287,1996.8
Lohardaga,356,1496.94
Lohit,259,3894.49
Longleng,268,564.41
Lower Dibang Valley,258,5689.02
Lower Subansiri,255,2479.16
Lucknow,157,2539.07
Ludhiana,41,3584.77
Lunglei,286,4516.49
Madhepura,213,1835.49
Madhubani,207,3438.31
Madurai,623,3696.04
Mahamaya Nagar,144,1768.58
Maharajganj,187,2898.61
Mahasamund,411,4731.68
Mahbubnagar,538,18383.61
Mahe,636,9.84
Mahendragarh,84,1929.65
Mahesana,471,4414.23
Mahoba,169,2871.75
Mainpuri,148,2699.76
Malappuram,592,3564.65
Maldah,332,3598.03
Malkangiri,399,5819.84
Mamit,281,3034.31
Mandla,454,7545.93
Mandsaur,433,5640.96
Mandya,573,4947.07
Mansa,47,2211.11
Marigaon,304,1545.89
Mathura,145,3354.08
Mau,192,1694.1
Mayurbhanj,376,10423.92
Medak,535,9760.95
Meerut,138,2612.99
Mewat,87,1467.03
Mirzapur,199,4512.34
Moga,42,2346.58
Mokokchung,262,1605.87
Mon,261,1841.41
Moradabad,135,3625.3
Morena,419,4985.03
Muktsar,44,2604.42
Mumbai Suburban,518,452.62
Munger,226,1430.6
Murshidabad,333,5337.02
Muzaffarnagar,133,4053.61
Muzaffarpur,216,3182.16
Mysore,577,6307.49
Nabarangapur,397,5297.97
Nadia,336,3918.69
Nagaon,305,3994.22
Nagappattinam,618,2486.7
Nagaur,112,17657.92
Nagpur,505,9923.98
Nalanda,229,2333.29
Nalbari,323,1031.66
Nalgonda,539,14089.55
Namakkal,609,3406.17
Nanded,511,10595.79
Nandurbar,497,5901.31
Narayanpur,415,4272.28
Narmada,487,2824
Narsimhapur,452,5143.85
Nashik,516,15557.6
Navsari,490,2226.01
Nawada,237,2481.41
Nayagarh,385,3888.78
Neemuch,432,4161.34
Nicobar,638,1700.21
Nizamabad,533,7910.85
North,91,69.09
North & Middle Andaman,639,3365.93
North 24 Parganas,337,5801.55
North East,92,62.52
North Goa,585,1680.32
North West,90,443.1
Nuapada,394,3863.34
Osmanabad,525,7565.01
Pakur,353,1813.82
Palakkad,593,4487.77
Palamu,358,4417.34
